Year,MAPE,algo,cov,algocov,day,resolution
2015,0.09667024968845225,TFT,SARI,TFT_SARI,2,D
2015,0.2001205053900133,TFT,SARI+LC,TFT_SARI+LC,2,D
2015,0.1263686783571424,TFT,SARI+AGE,TFT_SARI+AGE,2,D
2015,0.21622885777950818,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,2,D
2015,0.1411649956714033,DeepAR,SARI,DeepAR_SARI,2,D
2015,0.1212344539418581,DeepAR,SARI+LC,DeepAR_SARI+LC,2,D
2015,0.11797431353980153,DeepAR,SARI+AGE,DeepAR_SARI+AGE,2,D
2015,0.0972754763990011,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,2,D
2015,0.07167860076353035,Chronos,SARI,Chronos_SARI,2,D
2015,0.13060601907511532,AutoML,SARI,AutoML_SARI,2,D
2016,0.1205176330243666,TFT,SARI,TFT_SARI,2,D
2016,0.16310144212195082,TFT,SARI+LC,TFT_SARI+LC,2,D
2016,0.14533153562136272,TFT,SARI+AGE,TFT_SARI+AGE,2,D
2016,0.15581943625417083,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,2,D
2016,0.12170519308832403,DeepAR,SARI,DeepAR_SARI,2,D
2016,0.09015016215118501,DeepAR,SARI+LC,DeepAR_SARI+LC,2,D
2016,0.07409133699049918,DeepAR,SARI+AGE,DeepAR_SARI+AGE,2,D
2016,0.0807666921604639,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,2,D
2016,0.08878725886266821,Chronos,SARI,Chronos_SARI,2,D
2016,0.1286483819659169,AutoML,SARI,AutoML_SARI,2,D
2017,0.09054212632451797,TFT,SARI,TFT_SARI,2,D
2017,0.12246336506750533,TFT,SARI+LC,TFT_SARI+LC,2,D
2017,0.10653946994588342,TFT,SARI+AGE,TFT_SARI+AGE,2,D
2017,0.15209356334484855,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,2,D
2017,0.09791371208540818,DeepAR,SARI,DeepAR_SARI,2,D
2017,0.08255482917060243,DeepAR,SARI+LC,DeepAR_SARI+LC,2,D
2017,0.07701066664311984,DeepAR,SARI+AGE,DeepAR_SARI+AGE,2,D
2017,0.0827550495473613,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,2,D
2017,0.07488836829922414,Chronos,SARI,Chronos_SARI,2,D
2017,0.13387492552437874,AutoML,SARI,AutoML_SARI,2,D
2018,0.09638253813511898,TFT,SARI,TFT_SARI,2,D
2018,0.13422547968267953,TFT,SARI+LC,TFT_SARI+LC,2,D
2018,0.11306312200385048,TFT,SARI+AGE,TFT_SARI+AGE,2,D
2018,0.12498486418680213,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,2,D
2018,0.0804447472870635,DeepAR,SARI,DeepAR_SARI,2,D
2018,0.08701038131471704,DeepAR,SARI+LC,DeepAR_SARI+LC,2,D
2018,0.07414015571004827,DeepAR,SARI+AGE,DeepAR_SARI+AGE,2,D
2018,0.07928264942291145,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,2,D
2018,0.07839459221193627,Chronos,SARI,Chronos_SARI,2,D
2018,0.09060672992170489,AutoML,SARI,AutoML_SARI,2,D
2019,0.08653648365438792,TFT,SARI,TFT_SARI,2,D
2019,0.14603592324195214,TFT,SARI+LC,TFT_SARI+LC,2,D
